id,domain,job_title,company,location,job_type,salary_range,summary,required_skills,preferred_skills,experience,responsibilities
635,Machine Learning Engineer,ML Engineer,Cobalt Platforms,"Toronto, ON",Contract,"$120,000 – $150,000","As a ML Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""JAX"", ""Ray"", ""FastAPI"", ""Docker"", ""Unit Testing""]","[""Triton"", ""ONNX"", ""Weights & Biases"", ""Seldon""]",5-7 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
636,DevOps Engineer,DevOps Lead,TechCorp,"Sydney, Australia",Contract-to-Hire,"$150,000 – $180,000",We need a DevOps Lead to lead our DevOps transformation and drive continuous delivery at scale.,"[""Helm"", ""Kubernetes"", ""GitOps"", ""Prometheus"", ""Python""]","[""Crossplane"", ""Pulumi"", ""Grafana"", ""Loki""]",3-5 years,"[""Build and maintain GitOps workflows using ArgoCD and Flux"", ""Manage secrets and credentials using HashiCorp Vault"", ""Implement observability stack with Prometheus, Grafana, and Loki"", ""Drive reliability improvements through SLO/SLA tracking"", ""Automate infrastructure provisioning and scaling""]"
637,Cloud Engineer,Azure Cloud Engineer,Vertex Systems,Singapore,Full-time (Hybrid),"$160,000 – $200,000",Join our cloud team as a Azure Cloud Engineer and help architect the next generation of our platform.,"[""Azure"", ""ARM Templates"", ""PowerShell"", ""Kubernetes"", ""Git"", ""Agile"", ""Confluence""]","[""Azure Policy"", ""Bicep"", ""Defender for Cloud"", ""Sentinel"", ""Pair Programming"", ""OpenAPI""]",7+ years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
638,Mobile App Developer,Staff Mobile Engineer,Horizon Engineering,"Amsterdam, Netherlands",Full-time,"$90,000 – $110,000","We are looking for a Staff Mobile Engineer to build beautiful, performant mobile experiences for our users.","[""Kotlin"", ""Android SDK"", ""Jetpack Compose"", ""Retrofit"", ""Git""]","[""Bitrise"", ""Sentry"", ""Amplitude"", ""MixPanel""]",6+ years,"[""Design and build iOS applications using Swift and SwiftUI"", ""Integrate RESTful and GraphQL APIs into the mobile app"", ""Write unit and UI tests using XCTest"", ""Submit apps to the App Store and manage releases via TestFlight"", ""Collaborate with backend and product teams on feature development""]"
639,Cybersecurity Analyst,SOC Analyst,Luminary Tech,"San Francisco, CA",Contract-to-Hire,"$80,000 – $100,000","Join our security team as a SOC Analyst and help detect, investigate, and respond to security incidents.","[""Splunk"", ""Wireshark"", ""Vulnerability Scanning"", ""Python"", ""OWASP"", ""REST APIs"", ""Code Review""]","[""AWS Config"", ""Security Hub"", ""CloudTrail"", ""Terraform""]",6-8 years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
640,Data Analyst,Product Data Analyst,Luminary Tech,"Atlanta, GA",Contract,"$90,000 – $110,000",Join our analytics team as a Product Data Analyst and help us build a data-driven culture.,"[""SQL"", ""Snowflake"", ""dbt"", ""Metabase"", ""Python""]","[""Redshift"", ""Monte Carlo"", ""Great Expectations"", ""Spark"", ""Scrum"", ""Swagger""]",5-7 years,"[""Develop self-serve analytics using Looker and dbt"", ""Collaborate with data engineers to define data models and schemas"", ""Conduct cohort, funnel, and retention analysis for product teams"", ""Design and analyze A/B experiments to optimize user journeys"", ""Communicate analytical findings through clear visualizations and narratives""]"
641,Frontend Developer,Junior Frontend Developer,Stratos AI,"San Francisco, CA",Contract,"$120,000 – $150,000",We are looking for a talented Junior Frontend Developer to join our product engineering team and help build world-class web experiences.,"[""HTML"", ""CSS"", ""JavaScript"", ""Next.js"", ""GraphQL"", ""Confluence""]","[""GraphQL"", ""Three.js"", ""Tailwind CSS"", ""CI/CD""]",0-1 years,"[""Build responsive user interfaces using React and TypeScript"", ""Collaborate with UX designers to implement pixel-perfect designs"", ""Write unit and integration tests using Jest and React Testing Library"", ""Optimize application performance through lazy loading and code splitting"", ""Participate in code reviews and mentor junior developers""]"
642,Backend Developer,Senior Backend Engineer,TechCorp,Singapore,Contract-to-Hire,"$95,000 – $120,000",We're looking for a skilled Senior Backend Engineer to build the backbone of our cloud-native applications.,"[""Node.js"", ""Express"", ""MongoDB"", ""Docker"", ""Redis"", ""Confluence"", ""REST APIs""]","[""Istio"", ""Helm"", ""Jaeger"", ""Vault""]",0-1 years,"[""Develop backend services using Node.js and Express"", ""Design MongoDB schemas and manage database performance"", ""Implement authentication and authorization using JWT and OAuth2"", ""Monitor application health using Datadog and PagerDuty"", ""Review code and mentor junior engineers""]"
643,Full Stack Developer,Full Stack Developer,Synapse AI,"Bangalore, India",Contract-to-Hire,"$120,000 – $150,000",We're looking for a Full Stack Developer who thrives in ambiguity and can ship end-to-end product experiences.,"[""Vue.js"", ""Python"", ""Django"", ""MySQL"", ""Docker""]","[""Celery"", ""ElasticSearch"", ""Nginx"", ""GitHub Actions"", ""PagerDuty""]",1-3 years,"[""Lead architectural decisions for full stack product features"", ""Mentor junior and mid-level engineers across frontend and backend"", ""Optimize application performance and ensure scalability"", ""Define coding standards and conduct rigorous code reviews"", ""Contribute to infrastructure-as-code using Terraform""]"
644,Data Scientist,Principal Data Scientist,Luminary Tech,"Seattle, WA",Contract-to-Hire,"$110,000 – $130,000","As a Principal Data Scientist, you will apply statistical modeling and machine learning to solve complex business problems.","[""Python"", ""PyTorch"", ""A/B Testing"", ""SQL"", ""Matplotlib"", ""Git"", ""Linux""]","[""AWS SageMaker"", ""MLflow"", ""Databricks"", ""PySpark""]",0-2 years,"[""Build predictive models to improve user retention and lifetime value"", ""Conduct exploratory data analysis and present insights to stakeholders"", ""Design and analyze A/B tests to guide product decisions"", ""Collaborate with data engineers to productionize models"", ""Document methodology and maintain reproducible research""]"
645,Machine Learning Engineer,Deep Learning Engineer,Vertex Systems,"Atlanta, GA",Full-time (Hybrid),"$110,000 – $130,000","As a Deep Learning Engineer, you will bridge research and production and own the full ML lifecycle.","[""Python"", ""PyTorch"", ""CUDA"", ""Hugging Face"", ""AWS""]","[""TensorRT"", ""ONNX Runtime"", ""BentoML"", ""DVC""]",3-5 years,"[""Train, evaluate and deploy machine learning models into production"", ""Build scalable ML pipelines using Apache Airflow and Kubeflow"", ""Monitor model performance and trigger retraining workflows"", ""Collaborate with data scientists to productionize research code"", ""Write efficient data preprocessing and feature engineering pipelines""]"
646,DevOps Engineer,Site Reliability Engineer,Orion Software,"London, UK",Full-time,"$110,000 – $130,000",We are looking for a Site Reliability Engineer to build and scale our cloud infrastructure and deployment pipelines.,"[""ArgoCD"", ""Kubernetes"", ""GitHub Actions"", ""Vault"", ""Go""]","[""Tekton"", ""Harbor"", ""Trivy"", ""Cosign"", ""Pair Programming""]",1-3 years,"[""Design and maintain CI/CD pipelines using Jenkins and GitHub Actions"", ""Manage Kubernetes clusters on AWS EKS across multiple environments"", ""Implement infrastructure-as-code using Terraform"", ""Monitor system health and respond to incidents using PagerDuty"", ""Collaborate with development teams to streamline deployments""]"
647,Cloud Engineer,Senior Cloud Engineer,Horizon Engineering,"Toronto, ON",Contract,"$120,000 – $150,000","We are hiring a Senior Cloud Engineer to design and maintain scalable, secure cloud infrastructure.","[""AWS"", ""Terraform"", ""Python"", ""Docker"", ""Linux"", ""Confluence""]","[""Pulumi"", ""Crossplane"", ""OPA"", ""Falco""]",7+ years,"[""Lead cloud architecture design reviews and provide technical guidance"", ""Define and enforce cloud security standards including IAM and network policies"", ""Build and maintain multi-account or multi-project cloud landing zones"", ""Conduct cloud cost optimization reviews and implement savings plans"", ""Mentor cloud engineers and contribute to cloud center of excellence""]"
648,Mobile App Developer,Staff Mobile Engineer,Meridian Cloud,"San Francisco, CA",Full-time,"$130,000 – $160,000",Join our mobile team as a Staff Mobile Engineer and help ship features to millions of iOS and Android users.,"[""Swift"", ""Kotlin"", ""React Native"", ""CI/CD"", ""App Store Connect"", ""Git""]","[""Fastlane"", ""TestFlight"", ""Crashlytics"", ""WidgetKit"", ""BDD""]",4-6 years,"[""Develop Android applications using Kotlin and Jetpack Compose"", ""Implement MVVM architecture and dependency injection using Hilt"", ""Optimize app performance and reduce ANRs and crashes"", ""Integrate Firebase for analytics, push notifications, and remote config"", ""Conduct code reviews and mentor junior Android developers""]"
649,Cybersecurity Analyst,Senior Security Analyst,Synapse AI,"New York, NY",Contract,"$80,000 – $100,000","Join our security team as a Senior Security Analyst and help detect, investigate, and respond to security incidents.","[""SIEM"", ""IDS/IPS"", ""Network Security"", ""Linux"", ""TCP/IP"", ""Microservices""]","[""Cobalt Strike"", ""OSCP"", ""Red Team"", ""Purple Team""]",8+ years,"[""Monitor security events using SIEM platforms and triage alerts"", ""Investigate and respond to security incidents across endpoints and network"", ""Conduct vulnerability assessments and prioritize remediation"", ""Develop and tune detection rules and correlation queries"", ""Produce security reports and communicate risk to stakeholders""]"
650,Data Analyst,Product Data Analyst,Cascade Data,"Chicago, IL",Contract-to-Hire,"$150,000 – $180,000",We're looking for a Product Data Analyst to transform data into insights that drive key business decisions.,"[""SQL"", ""Looker"", ""dbt"", ""Python"", ""Git"", ""CI/CD"", ""Agile""]","[""Fivetran"", ""BigQuery"", ""Amplitude"", ""Mixpanel""]",5-7 years,"[""Write complex SQL queries to extract insights from large datasets"", ""Build and maintain dashboards in Tableau for cross-functional stakeholders"", ""Partner with product and marketing teams to define and track KPIs"", ""Conduct ad hoc analysis to support strategic decision-making"", ""Ensure data quality and accuracy in reporting pipelines""]"
651,Frontend Developer,Senior Frontend Developer,BlueSky Analytics,"Toronto, ON",Full-time (Hybrid),"$120,000 – $150,000","We're hiring a Senior Frontend Developer to craft intuitive, performant UIs for our SaaS platform.","[""HTML5"", ""CSS3"", ""TypeScript"", ""Vue.js"", ""Webpack""]","[""React Native"", ""D3.js"", ""Rollup"", ""Figma""]",0-1 years,"[""Architect and maintain the Angular-based enterprise application"", ""Establish and enforce frontend coding standards and best practices"", ""Lead technical discussions and contribute to sprint planning"", ""Collaborate with backend teams to define API contracts"", ""Monitor and improve Core Web Vitals metrics""]"
652,Backend Developer,Python Backend Developer,Pinnacle Software,"Seattle, WA",Full-time,"$120,000 – $150,000","As a Python Backend Developer, you will architect and implement core backend services that power our platform.","[""Node.js"", ""Express"", ""MongoDB"", ""Docker"", ""Redis"", ""Agile"", ""Linux""]","[""Alembic"", ""Airflow"", ""Datadog"", ""Sentry"", ""Pair Programming"", ""New Relic""]",5-7 years,"[""Architect high-throughput data pipelines using Kafka and Java"", ""Develop Spring Boot microservices following domain-driven design"", ""Lead architectural decisions for backend systems"", ""Write runbooks and on-call documentation"", ""Participate in capacity planning and performance tuning""]"
653,Full Stack Developer,Full Stack Architect,NovaTech Solutions,"Seattle, WA",Full-time,"$150,000 – $180,000",We're looking for a Full Stack Architect who thrives in ambiguity and can ship end-to-end product experiences.,"[""Next.js"", ""TypeScript"", ""Node.js"", ""GraphQL"", ""PostgreSQL""]","[""Storybook"", ""Datadog"", ""Sentry"", ""Auth0"", ""New Relic"", ""OpenAPI""]",3-5 years,"[""Develop full stack features for our B2B SaaS product"", ""Integrate third-party APIs and payment gateways"", ""Implement responsive UI components and backend business logic"", ""Own the full software development lifecycle for assigned features"", ""Maintain high test coverage across unit and integration tests""]"
